"reviewId","content","score","lowercased","cleaned","word_count","slang_handled","stopword_removed","stemmed","tokenized"
"07be79bb-e1b2-4295-81ea-f9d4c3615173","Titik lokasi tdk pada tempatnya sangat menyulitkan kegiatan kami yg menggunakan app Grab setoap kali","5.0","titik lokasi tdk pada tempatnya sangat menyulitkan kegiatan kami yg menggunakan app grab setoap kali","titik lokasi tdk pada tempatnya sangat menyulitkan kegiatan kami yg menggunakan app grab setoap kali","['titik', 'lokasi', 'tdk', 'pada', 'tempatnya', 'sangat', 'menyulitkan', 'kegiatan', 'kami', 'yg', 'menggunakan', 'app', 'grab', 'setoap', 'kali']","titik lokasi tidak pada tempatnya sangat menyulitkan kegiatan kami yang menggunakan app grab setoap kali","titik lokasi tempatnya menyulitkan kegiatan app grab setoap","titik lokasi tempat sulit giat app grab setoap","['titik', 'lokasi', 'tempat', 'sulit', 'giat', 'app', 'grab', 'setoap']"
"68cb205e-09be-43b5-876c-bbf04bf8f40b","Saat driver sudah ok tapi driver dimap terlihat tidak bergerak Sehingga membingungkan konsumen driver datang atau tidak Mohon untuk perbaikan nya...","5.0","saat driver sudah ok tapi driver dimap terlihat tidak bergerak sehingga membingungkan konsumen driver datang atau tidak mohon untuk perbaikan nya...","saat driver sudah ok tapi driver dimap terlihat tidak bergerak sehingga membingungkan konsumen driver datang atau tidak mohon untuk perbaikan nya","['saat', 'driver', 'sudah', 'ok', 'tapi', 'driver', 'dimap', 'terlihat', 'tidak', 'bergerak', 'sehingga', 'membingungkan', 'konsumen', 'driver', 'datang', 'atau', 'tidak', 'mohon', 'untuk', 'perbaikan', 'nya']","saat driver sudah ok tapi driver dimap terlihat tidak bergerak sehingga membingungkan konsumen driver datang atau tidak mohon untuk perbaikan nya","driver ok driver dimap bergerak membingungkan konsumen driver perbaikan","driver ok driver map gerak bingung konsumen driver baik","['driver', 'ok', 'driver', 'map', 'gerak', 'bingung', 'konsumen', 'driver', 'baik']"
"2ad566fa-105f-4a88-a768-0d96f655fe79","Mantaapp skr grab ongkos lbh murah ga sprt dl mdh²an ga akan naik lg dan sllu memberikan kenyamanan untuk para pengguna grab","5.0","mantaapp skr grab ongkos lbh murah ga sprt dl mdh²an ga akan naik lg dan sllu memberikan kenyamanan untuk para pengguna grab","mantaapp skr grab ongkos lbh murah ga sprt dl mdh²an ga akan naik lg dan sllu memberikan kenyamanan untuk para pengguna grab","['mantaapp', 'skr', 'grab', 'ongkos', 'lbh', 'murah', 'ga', 'sprt', 'dl', 'mdh²an', 'ga', 'akan', 'naik', 'lg', 'dan', 'sllu', 'memberikan', 'kenyamanan', 'untuk', 'para', 'pengguna', 'grab']","mantaapp sekarang grab ongkos lebih murah enggak seperti dulu mdh²an enggak akan naik lagi dan selalu memberikan kenyamanan untuk para pengguna grab","mantaapp grab ongkos murah mdh²an kenyamanan pengguna grab","mantaapp grab ongkos murah mdh an nyaman guna grab","['mantaapp', 'grab', 'ongkos', 'murah', 'mdh', 'an', 'nyaman', 'guna', 'grab']"
"a96998e4-588d-45af-8c08-1ddd082d126b","mantap ayam gulai & perkedel, cuma sayang hari ini perkedel hbs di menu","5.0","mantap ayam gulai & perkedel, cuma sayang hari ini perkedel hbs di menu","mantap ayam gulai   perkedel  cuma sayang hari ini perkedel hbs di menu","['mantap', 'ayam', 'gulai', 'perkedel', 'cuma', 'sayang', 'hari', 'ini', 'perkedel', 'hbs', 'di', 'menu']","mantap ayam gulai perkedel cuma sayang hari ini perkedel habis di menu","mantap ayam gulai perkedel sayang perkedel habis menu","mantap ayam gulai perkedel sayang perkedel habis menu","['mantap', 'ayam', 'gulai', 'perkedel', 'sayang', 'perkedel', 'habis', 'menu']"
"598ab6ac-46d9-4c06-adaf-402a2b509225","Alhamdulilah.. mendapatkan pelayanane yang sangat baik dan ramah,terimakasih orang baik,","5.0","alhamdulilah.. mendapatkan pelayanane yang sangat baik dan ramah,terimakasih orang baik,","alhamdulilah   mendapatkan pelayanane yang sangat baik dan ramah terimakasih orang baik","['alhamdulilah', 'mendapatkan', 'pelayanane', 'yang', 'sangat', 'baik', 'dan', 'ramah', 'terimakasih', 'orang', 'baik']","alhamdulilah mendapatkan pelayanane yang sangat baik dan ramah terimakasih orang baik","alhamdulilah pelayanane ramah terimakasih","alhamdulilah pelayanane ramah terimakasih","['alhamdulilah', 'pelayanane', 'ramah', 'terimakasih']"
"690bc9a4-bb6b-4d1e-91ff-bd27e15e4567","berguna juga ni kalo kelaparan tengah mlm ga perlu ribet keluar rumah","5.0","berguna juga ni kalo kelaparan tengah mlm ga perlu ribet keluar rumah","berguna juga ni kalo kelaparan tengah mlm ga perlu ribet keluar rumah","['berguna', 'juga', 'ni', 'kalo', 'kelaparan', 'tengah', 'mlm', 'ga', 'perlu', 'ribet', 'keluar', 'rumah']","berguna juga nih kalo kelaparan tengah malam enggak perlu ribet keluar rumah","berguna nih kalo kelaparan tengah malam ribet rumah","guna nih kalo lapar tengah malam ribet rumah","['guna', 'nih', 'kalo', 'lapar', 'tengah', 'malam', 'ribet', 'rumah']"
"2e30f7b1-0fc4-4997-bc4b-a78eefb0bff1","Saya merasa berterimakasih bila butuh Antar Jemput...Dengan Grab Moto....Bila Area Jemputan gk Ada Angkot ....","5.0","saya merasa berterimakasih bila butuh antar jemput...dengan grab moto....bila area jemputan gk ada angkot ....","saya merasa berterimakasih bila butuh antar jemput   dengan grab moto    bila area jemputan gk ada angkot","['saya', 'merasa', 'berterimakasih', 'bila', 'butuh', 'antar', 'jemput', 'dengan', 'grab', 'moto', 'bila', 'area', 'jemputan', 'gk', 'ada', 'angkot']","saya merasa berterimakasih bila butuh antar jemput dengan grab moto bila area jemputan enggak ada angkot","berterimakasih butuh jemput grab moto area jemputan angkot","berterimakasih butuh jemput grab moto area jemput angkot","['berterimakasih', 'butuh', 'jemput', 'grab', 'moto', 'area', 'jemput', 'angkot']"
"605c01b5-37aa-4d12-96a8-63895a915b95","Hari ini naik grab car pp ke depok dengan driver yang beda. Alhamdulillah layanan keduannya bagus.","5.0","hari ini naik grab car pp ke depok dengan driver yang beda. alhamdulillah layanan keduannya bagus.","hari ini naik grab car pp ke depok dengan driver yang beda  alhamdulillah layanan keduannya bagus","['hari', 'ini', 'naik', 'grab', 'car', 'pp', 'ke', 'depok', 'dengan', 'driver', 'yang', 'beda', 'alhamdulillah', 'layanan', 'keduannya', 'bagus']","hari ini naik grab car pp ke depok dengan driver yang beda alhamdulillah layanan keduannya bagus","grab car pp depok driver beda alhamdulillah layanan keduannya bagus","grab car pp depok driver beda alhamdulillah layan keduannya bagus","['grab', 'car', 'pp', 'depok', 'driver', 'beda', 'alhamdulillah', 'layan', 'keduannya', 'bagus']"
"ea4e06a4-df87-4ee6-b816-c1a838a9de63","luar biasa driver yang baik dan trima kasih s3moga manfaat","5.0","luar biasa driver yang baik dan trima kasih s3moga manfaat","luar biasa driver yang baik dan trima kasih s moga manfaat","['luar', 'biasa', 'driver', 'yang', 'baik', 'dan', 'trima', 'kasih', 's', 'moga', 'manfaat']","luar biasa driver yang baik dan terima kasih si moga manfaat","driver terima kasih si moga manfaat","driver terima kasih si moga manfaat","['driver', 'terima', 'kasih', 'si', 'moga', 'manfaat']"
"67f7a988-271c-4a4a-b661-faa71efa79dd","so far tdk pernah ada masalah selama penggunaan aplikasi ini","5.0","so far tdk pernah ada masalah selama penggunaan aplikasi ini","so far tdk pernah ada masalah selama penggunaan aplikasi ini","['so', 'far', 'tdk', 'pernah', 'ada', 'masalah', 'selama', 'penggunaan', 'aplikasi', 'ini']","sok far tidak pernah ada masalah selama penggunaan aplikasi ini","sok far penggunaan aplikasi","sok far guna aplikasi","['sok', 'far', 'guna', 'aplikasi']"
